Yelp URL,Name,Street Address,Zip Code,City,State,Price Range,Phone,Rating,Number of Reviews,Website,Menu Link,Image 1,Image 2,Image 3,Category 1,Category 2,Category 3
https://www.yelp.com/biz/moon-rabbit-houston,Moon Rabbit,605 W 19th St ,77008,Houston,TX,$$,(713) 684-3991,4.5,126,www.moonrabbithtx.com,,https://s3-media0.fl.yelpcdn.com/bphoto/dLQwwHn6emhaeeD-Q0k1sA/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/Ia6Vrmf5bvkUyjEgdQvSBQ/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/hxuuoWkrhGwbHRHdZ4Xqbw/l.jpg,Vietnamese,,
https://www.yelp.com/biz/gatlins-fins-and-feathers-houston,Gatlin's Fins & Feathers,302 W Crosstimbers St ,77018,Houston,TX,$$,,4,90,gatlinsfinsandfeathers.com,,https://s3-media0.fl.yelpcdn.com/bphoto/sAe3jNICz_JtI878dtWU4g/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/LPTI8oaAKeBJygQ2-jkOnQ/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/wTB0aqJeWRBl7ZLIWsf6zw/l.jpg,Southern,,
https://www.yelp.com/biz/hughies-houston-9,Hughie's,1802 W 18th St ,77008,Houston,TX,$$,(713) 869-1830,4.5,983,www.hughiesgrille.com,www.hughiesgrille.com/copy-of-lunch,https://s3-media0.fl.yelpcdn.com/bphoto/BknNG9Jxd-Py30esGMmBPQ/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/lGSPvbG-nPV3Ei4z9iSUzw/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/Kg59T_gCRnpUxfGmxVS74A/l.jpg,Vietnamese,Asian Fusion,Beer Bar
https://www.yelp.com/biz/les-baget-houston-5,LES BA'GET,1717 W 34th St Ste 800,77018,Houston,TX,$$,(832) 548-1080,4.5,316,,,https://s3-media0.fl.yelpcdn.com/bphoto/6Ceue9Lv9sX3efYjLB2-vw/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/zvAG7aA5kDHeRfoHb-k9Zg/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/_CLl45FJRIqTs1jWA1xfzg/l.jpg,Vietnamese,,
https://www.yelp.com/biz/sao-lao-thai-caf%C3%A9-houston-2,Sao Lao Thai Café,5013 N Shepherd Dr ,77018,Houston,TX,$$,(832) 203-5920,4.5,144,,,https://s3-media0.fl.yelpcdn.com/bphoto/0o3gYRBEWSZreWfJMMrrRg/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/YQ0jG8bUrM9SgaYBSYL6FQ/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/XjcmRjRA-kJJS0hynSXDzw/l.jpg,Thai,Laotian,
https://www.yelp.com/biz/goode-company-kitchen-and-cantina-houston-3,Goode Company Kitchen & Cantina,1801 Yale Street ,77008,Houston,TX,,(713) 244-8448,4,44,kitchenandcantina.com/locations/the-heights/,kitchenandcantina.com/menus/the-heights/,https://s3-media0.fl.yelpcdn.com/bphoto/bbCTG6Y7T2bkErp5T6z6Dw/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/Ws-WOXeJ_trMA8XhvFdhxg/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/fy_jMISX3YfqxHYhJs2DLA/l.jpg,Comfort Food,Tex-Mex,Mexican
https://www.yelp.com/biz/le-cafe-josephine-houston,Le Cafe Josephine,201 E 20th St ,77008,Houston,TX,,(281) 888-5130,4.5,30,www.lecafejosephine.com,,https://s3-media0.fl.yelpcdn.com/bphoto/DAuf_XyNz9UJf99bD_XKcQ/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/BGXcu65Zzbd6EI4hWFtCSw/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/9aUg4peTW0AuyDXBFq5lsw/l.jpg,Sandwiches,Breakfast & Brunch,
https://www.yelp.com/biz/hughies-houston-10,Hughie's,4721 N Main St Ste A,77009,Houston,TX,$$,(281) 888-9415,4.5,255,www.hughiesgrille.com,www.hughiesgrille.com/copy-of-lunch,https://s3-media0.fl.yelpcdn.com/bphoto/FT7yttS6iJWKsWEfdcIQeA/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/wsVI0ovLIpzrxLC06ebc6A/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/_CDnRQ3taawogqjiJzidyg/l.jpg,Vietnamese,Asian Fusion,Beer Bar
https://www.yelp.com/biz/azteca-taco-house-houston,AZTECA Taco House,3801 Hopper Rd Ste B,77093,Houston,TX,,(832) 486-9775,5,51,,,https://s3-media0.fl.yelpcdn.com/bphoto/AKWK8wsOKyRyUoVdtDv3kQ/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/ng1fhY1SIhKyd1NPp1Fenw/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/OVJyWT06m1hzN_WKvO1Y0A/l.jpg,Mexican,,
https://www.yelp.com/biz/dream-wings-houston-2,Dream Wings,3425 Ella Blvd ,77018,Houston,TX,$$,(713) 640-5705,4,454,,,https://s3-media0.fl.yelpcdn.com/bphoto/nHPz-zCSYWPExXcPQFYYVQ/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/ao-GHUSlUmNkGmRlLL9zvg/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/tstIxD3vO_kC5X5WiT1KVg/l.jpg,Chicken Wings,,
